open_broker_time,close_broker_time,broker_hour,ticket,kind,side,lots,entry,net_pnl,hold_seconds,gap_from_prev_close_s,cumulative_pnl,outcome
2026-05-14 22:21:00,2026-05-14 22:50:59,22,52098833,PROBE,BUY,0.01,4668.7,-11.34,1799,0,-11.34,LOSS
2026-05-14 22:30:30,2026-05-14 22:32:47,22,52099362,PROBE,SELL,0.01,4664.03,2.23,137,-1229,-9.11,WIN
2026-05-14 22:32:35,2026-05-14 22:32:47,22,52099428,MAIN,SELL,0.4,4662.42,27.2,12,-12,18.09,WIN
2026-05-14 22:36:16,2026-05-14 22:37:29,22,52099766,PROBE,SELL,0.01,4664.52,1.74,73,209,19.83,WIN
2026-05-14 22:37:06,2026-05-14 22:37:29,22,52099779,MAIN,SELL,0.4,4663.07,11.6,23,-23,31.43,WIN
2026-05-14 22:41:59,2026-05-14 22:43:52,22,52100504,PROBE,SELL,0.01,4657.59,1.13,113,270,32.56,WIN
2026-05-14 22:43:08,2026-05-14 22:43:52,22,52100577,MAIN,SELL,0.4,4656.22,-14.4,44,-44,18.16,LOSS
2026-05-14 22:47:46,2026-05-14 22:49:05,22,52101103,PROBE,SELL,0.01,4654.37,-2.7,79,234,15.46,LOSS
2026-05-14 22:48:33,2026-05-14 22:49:05,22,52101227,MAIN,SELL,0.4,4653.24,-145.6,32,-32,-130.14,LOSS
2026-05-15 07:16:00,2026-05-15 07:19:12,7,52170138,PROBE,SELL,0.01,4618.56,2.47,192,30415,-127.67,WIN
2026-05-15 07:16:02,2026-05-15 07:19:12,7,52170148,PROBE,SELL,0.01,4618.64,2.55,190,-190,-125.12,WIN
2026-05-15 07:18:33,2026-05-15 07:19:12,7,52170243,MAIN,SELL,0.4,4617.16,48.8,39,-39,-76.32,WIN
2026-05-15 07:18:33,2026-05-15 07:19:12,7,52170244,MAIN,SELL,0.4,4617.16,48.8,39,-39,-27.52,WIN
