open_hms,hour,side,entry,pnl,bar_idx,bar_open,bar_close,bar_high,bar_low,bar_vol,body,reasons,primary
01:32:19,01,buy,5045.07,7.32,32,5045.31,5045.35,5045.87,5044.51,115,0.04,too_early_in_session,too_early_in_session
01:32:20,01,buy,5045.02,7.74,32,5045.31,5045.35,5045.87,5044.51,115,0.04,too_early_in_session,too_early_in_session
02:09:38,02,sell,5040.68,11.69,69,5042.56,5039.85,5042.7,5039.51,235,-2.71,bo_open_below_uhv_low (gap),bo_open_below_uhv_low (gap)
02:09:39,02,sell,5040.61,11.44,69,5042.56,5039.85,5042.7,5039.51,235,-2.71,bo_open_below_uhv_low (gap),bo_open_below_uhv_low (gap)
02:29:02,02,buy,5039.03,20.01,89,5038.95,5040.27,5040.92,5038.93,116,1.32,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
02:29:02,02,buy,5039.03,20.01,89,5038.95,5040.27,5040.92,5038.93,116,1.32,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
16:49:07,16,buy,5047.93,17.12,949,5050.03,5047.75,5050.03,5044.1,934,-2.28,bo_not_green,bo_not_green
16:49:07,16,buy,5047.9,16.45,949,5050.03,5047.75,5050.03,5044.1,934,-2.28,bo_not_green,bo_not_green
16:49:07,16,buy,5047.24,22.95,949,5050.03,5047.75,5050.03,5044.1,934,-2.28,bo_not_green,bo_not_green
16:58:03,16,buy,5064.26,5.73,958,5063.4,5061.6,5065.21,5060.89,841,-1.8,bo_not_green,bo_not_green
16:58:03,16,buy,5064.31,5.23,958,5063.4,5061.6,5065.21,5060.89,841,-1.8,bo_not_green,bo_not_green
16:58:03,16,buy,5064.29,5.48,958,5063.4,5061.6,5065.21,5060.89,841,-1.8,bo_not_green,bo_not_green
17:02:45,17,buy,5055.71,54.93,962,5059.74,5057.83,5060.27,5053.81,869,-1.91,bo_not_green,bo_not_green
17:02:46,17,buy,5056.24,50.47,962,5059.74,5057.83,5060.27,5053.81,869,-1.91,bo_not_green,bo_not_green
17:02:47,17,buy,5056.52,48.11,962,5059.74,5057.83,5060.27,5053.81,869,-1.91,bo_not_green,bo_not_green
17:36:11,17,buy,5056.53,3.29,996,5055.46,5054.73,5057.7,5054.69,764,-0.73,bo_not_green,bo_not_green
17:36:11,17,buy,5056.53,3.29,996,5055.46,5054.73,5057.7,5054.69,764,-0.73,bo_not_green,bo_not_green
17:36:13,17,buy,5057.05,14.5,996,5055.46,5054.73,5057.7,5054.69,764,-0.73,bo_not_green,bo_not_green
17:37:26,17,buy,5045.82,7.08,997,5054.73,5044.5,5055.11,5039.44,1026,-10.23,bo_not_green,bo_not_green
17:37:27,17,buy,5045.33,11.22,997,5054.73,5044.5,5055.11,5039.44,1026,-10.23,bo_not_green,bo_not_green
17:49:59,17,buy,5048.32,52.78,1009,5049.47,5048.23,5050.53,5044.88,743,-1.24,bo_not_green,bo_not_green
17:49:59,17,buy,5048.37,52.27,1009,5049.47,5048.23,5050.53,5044.88,743,-1.24,bo_not_green,bo_not_green
17:49:59,17,buy,5048.38,52.1,1009,5049.47,5048.23,5050.53,5044.88,743,-1.24,bo_not_green,bo_not_green
18:41:50,18,buy,5078.1,-1.43,1061,5076.39,5077.05,5078.33,5076.38,340,0.66,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
18:41:50,18,buy,5078.12,-1.6,1061,5076.39,5077.05,5078.33,5076.38,340,0.66,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
18:41:50,18,buy,5078.11,-1.51,1061,5076.39,5077.05,5078.33,5076.38,340,0.66,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
18:41:51,18,buy,5078.02,-0.76,1061,5076.39,5077.05,5078.33,5076.38,340,0.66,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
18:41:51,18,buy,5077.91,0.17,1061,5076.39,5077.05,5078.33,5076.38,340,0.66,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
18:41:51,18,buy,5077.91,0.17,1061,5076.39,5077.05,5078.33,5076.38,340,0.66,bo_open_above_uhv_high (gap),bo_open_above_uhv_high (gap)
19:08:59,19,sell,5083.28,7.82,1088,5079.31,5083.22,5083.4,5078.55,340,3.91,bo_not_red,bo_not_red
19:08:59,19,sell,5083.24,7.49,1088,5079.31,5083.22,5083.4,5078.55,340,3.91,bo_not_red,bo_not_red
19:08:59,19,sell,5083.16,6.82,1088,5079.31,5083.22,5083.4,5078.55,340,3.91,bo_not_red,bo_not_red
19:08:59,19,sell,5083.17,7.4,1088,5079.31,5083.22,5083.4,5078.55,340,3.91,bo_not_red,bo_not_red
19:11:05,19,sell,5083.39,3.11,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
19:11:05,19,sell,5083.31,2.44,1091,5082.68,5084.53,5084.67,5082.56,367,1.86,bo_not_red,bo_not_red
