side,open_t,entry,mfe,mae
BUY,2026-06-01 09:00,4498.007,2.5830000000005384,0.4349999999994907
BUY,2026-06-01 10:26,4501.329,3.1660000000001673,1.0619999999998981
SELL,2026-06-01 16:03,4474.016,2.8969999999999345,0.7210000000004584
BUY,2026-06-01 20:49,4483.351,0.8200000000006185,0.7779999999993379
BUY,2026-06-01 23:20,4486.355,1.4450000000006185,0.9739999999992506
BUY,2026-06-02 02:52,4478.334,4.608000000000175,0.4749999999994543
SELL,2026-06-02 10:01,4536.55,2.7200000000002547,1.0100000000002183
BUY,2026-06-02 18:33,4505.1,3.2899999999999636,0.5900000000001455
SELL,2026-06-02 22:21,4486.81,0.8500000000003638,0.569999999999709
SELL,2026-06-03 01:33,4491.05,3.5600000000004,0.36999999999989086
SELL,2026-06-03 02:07,4483.07,7.859999999999673,0.47000000000025466
BUY,2026-06-03 03:39,4488.6,7.799999999999272,0.5100000000002183
SELL,2026-06-03 05:16,4479.64,5.200000000000728,1.1300000000001091
BUY,2026-06-03 08:33,4462.29,6.5,0.6199999999998909
BUY,2026-06-03 09:56,4459.59,3.619999999999891,0.38000000000010914
BUY,2026-06-03 10:48,4459.28,4.300000000000182,0.7699999999995271
