side,open_t,entry,exit,delta_pt,peak_pt,pnl_usd,exit_reason
BUY,2026-05-07 12:09,4731.54,4732.1,0.5600000000004002,1.3500000000003638,16.800000000012005,trail
SELL,2026-05-07 14:12,4732.67,4731.62,1.050000000000182,1.5799999999999272,31.500000000005457,trail
BUY,2026-05-08 08:27,4713.66,4715.11,1.449999999999818,1.9700000000002547,43.49999999999454,trail
BUY,2026-05-08 10:33,4706.03,4710.28,4.25,4.920000000000073,127.5,trail
BUY,2026-05-08 14:04,4723.46,4726.26,2.800000000000182,3.3299999999999272,84.00000000000546,trail
BUY,2026-05-08 16:59,4745.07,4746.01,0.9400000000005093,1.6400000000003274,28.20000000001528,trail
SELL,2026-05-08 22:21,4723.97,4723.42,0.5500000000001819,1.0900000000001455,16.500000000005457,trail
BUY,2026-05-08 23:21,4716.1,4717.1,1.0,1.519999999999527,30.0,trail
BUY,2026-05-11 01:16,4687.12,4687.86,0.7399999999997817,1.6000000000003638,22.19999999999345,trail
BUY,2026-05-11 11:38,4672.44,4670.44,-2.0,0.7899999999999636,-60.0,SL
BUY,2026-05-11 12:35,4654.91,4655.32,0.4099999999998545,1.0,12.299999999995634,trail
BUY,2026-05-11 23:00,4735.1,4736.65,1.5499999999992724,2.1799999999993815,46.49999999997817,trail
SELL,2026-05-12 01:16,4739.15,4738.57,0.5799999999999272,1.089999999999236,17.399999999997817,trail
BUY,2026-05-12 03:26,4762.54,4765.11,2.569999999999709,3.2200000000002547,77.09999999999127,trail
BUY,2026-05-12 04:44,4725.13,4729.11,3.9799999999995634,4.479999999999563,119.3999999999869,trail
BUY,2026-05-12 10:19,4697.73,4698.9,1.1700000000000728,1.7400000000006912,35.10000000000218,trail
SELL,2026-05-12 15:22,4705.01,4702.61,2.4000000000005457,2.9899999999997817,72.00000000001637,trail
SELL,2026-05-12 16:12,4694.55,4692.17,2.380000000000109,2.9000000000005457,71.40000000000327,trail
BUY,2026-05-12 23:36,4713.87,4714.23,0.3599999999996726,1.3699999999998909,10.799999999990177,trail
SELL,2026-05-13 06:32,4701.81,4701.17,0.6400000000003274,1.2899999999999636,19.200000000009823,trail
SELL,2026-05-13 06:50,4702.47,4700.42,2.050000000000182,2.5900000000001455,61.50000000000546,trail
BUY,2026-05-13 12:44,4693.65,4693.91,0.2600000000002183,1.2100000000000364,7.800000000006548,trail
BUY,2026-05-13 13:06,4699.63,4700.57,0.9399999999995998,1.9899999999997817,28.199999999987995,trail
SELL,2026-05-13 16:35,4683.89,4682.36,1.5300000000006548,2.0399999999999636,45.900000000019645,trail
BUY,2026-05-13 20:13,4699.6,4699.65,0.049999999999272404,1.4699999999993452,1.4999999999781721,trail
SELL,2026-05-13 22:28,4688.07,4687.35,0.7199999999993452,1.269999999999527,21.599999999980355,trail
BUY,2026-05-13 23:39,4691.34,4689.34,-2.0,0.4499999999998181,-60.0,SL
